date, psychopy_version, exp_version, unattractive_face_version, attractive_face_version, left, subject, block, trial, rt, response, correct, summed_val_total, unattractive_face_image, unattractive_face_val_base, unattractive_face_mult, unattractive_face_val_total, attractive_face_image, attractive_face_val_base, attractive_face_mult, attractive_face_val_total, fix_num, fix_rt, fix_stim, fix_num_total, accuracy, payout
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,4.288,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,0,0.731,weights,7,1.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,4.288,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,1,0.601,left,7,1.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,4.288,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,2,0.270,weights,7,1.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,4.288,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,3,1.537,right,7,1.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,4.288,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,4,0.132,weights,7,1.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,4.288,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,5,0.835,left,7,1.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,0,4.288,0,1,-1.30,face_m_u_1_015.jpg,-0.70,1.00,-0.70,face_m_a_4_080.jpg,-0.60,1.00,-0.60,6,0.183,weights,7,1.00,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,5.278,1,0,-0.68,face_m_u_1_014.jpg,-0.72,3.00,-2.16,face_m_a_4_013.jpg,0.74,2.00,1.48,0,0.560,weights,9,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,5.278,1,0,-0.68,face_m_u_1_014.jpg,-0.72,3.00,-2.16,face_m_a_4_013.jpg,0.74,2.00,1.48,1,0.800,left,9,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,5.278,1,0,-0.68,face_m_u_1_014.jpg,-0.72,3.00,-2.16,face_m_a_4_013.jpg,0.74,2.00,1.48,2,0.235,weights,9,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,5.278,1,0,-0.68,face_m_u_1_014.jpg,-0.72,3.00,-2.16,face_m_a_4_013.jpg,0.74,2.00,1.48,3,1.400,right,9,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,5.278,1,0,-0.68,face_m_u_1_014.jpg,-0.72,3.00,-2.16,face_m_a_4_013.jpg,0.74,2.00,1.48,4,0.067,weights,9,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,5.278,1,0,-0.68,face_m_u_1_014.jpg,-0.72,3.00,-2.16,face_m_a_4_013.jpg,0.74,2.00,1.48,5,0.666,left,9,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,5.278,1,0,-0.68,face_m_u_1_014.jpg,-0.72,3.00,-2.16,face_m_a_4_013.jpg,0.74,2.00,1.48,6,0.500,weights,9,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,5.278,1,0,-0.68,face_m_u_1_014.jpg,-0.72,3.00,-2.16,face_m_a_4_013.jpg,0.74,2.00,1.48,7,0.551,right,9,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,1,5.278,1,0,-0.68,face_m_u_1_014.jpg,-0.72,3.00,-2.16,face_m_a_4_013.jpg,0.74,2.00,1.48,8,0.500,weights,9,0.50,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,2,3.020,0,1,-2.52,face_m_u_1_044.jpg,-0.12,1.00,-0.12,face_m_a_4_090.jpg,-0.80,3.00,-2.40,0,0.903,weights,5,0.67,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,2,3.020,0,1,-2.52,face_m_u_1_044.jpg,-0.12,1.00,-0.12,face_m_a_4_090.jpg,-0.80,3.00,-2.40,1,0.801,left,5,0.67,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,2,3.020,0,1,-2.52,face_m_u_1_044.jpg,-0.12,1.00,-0.12,face_m_a_4_090.jpg,-0.80,3.00,-2.40,2,0.216,weights,5,0.67,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,2,3.020,0,1,-2.52,face_m_u_1_044.jpg,-0.12,1.00,-0.12,face_m_a_4_090.jpg,-0.80,3.00,-2.40,3,0.984,right,5,0.67,0
2019_Jul_03_2335,3.0.2,3.3.0,0,1,unattractive,999,0,2,3.020,0,1,-2.52,face_m_u_1_044.jpg,-0.12,1.00,-0.12,face_m_a_4_090.jpg,-0.80,3.00,-2.40,4,0.117,weights,5,0.67,0
