text,congruent,corrAns,letterColor,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
blue,0,left,red,0,0,0,5,right,0,0.384302854538,2016_Oct_23_2205,60.5345241154,stroop,01,03,
blue,1,right,blue,0,1,1,4,right,1,0.218229055405,2016_Oct_23_2205,60.5345241154,stroop,01,03,
red,1,left,red,0,2,2,0,right,0,0.201261043549,2016_Oct_23_2205,60.5345241154,stroop,01,03,
green,0,right,blue,0,3,3,3,right,1,0.251702785492,2016_Oct_23_2205,60.5345241154,stroop,01,03,
red,0,down,green,0,4,4,1,right,0,0.285788059235,2016_Oct_23_2205,60.5345241154,stroop,01,03,
green,1,down,green,0,5,5,2,right,0,0.283699989319,2016_Oct_23_2205,60.5345241154,stroop,01,03,
green,1,down,green,1,0,6,2,right,0,0.25146484375,2016_Oct_23_2205,60.5345241154,stroop,01,03,
red,1,left,red,1,1,7,0,right,0,0.184352874756,2016_Oct_23_2205,60.5345241154,stroop,01,03,
blue,1,right,blue,1,2,8,4,right,1,0.166729927063,2016_Oct_23_2205,60.5345241154,stroop,01,03,
green,0,right,blue,1,3,9,3,right,1,0.200955867767,2016_Oct_23_2205,60.5345241154,stroop,01,03,
red,0,down,green,1,4,10,1,right,0,0.100998878479,2016_Oct_23_2205,60.5345241154,stroop,01,03,
blue,0,left,red,1,5,11,5,right,0,0.0848681926727,2016_Oct_23_2205,60.5345241154,stroop,01,03,
blue,1,right,blue,2,0,12,4,right,1,0.0680768489838,2016_Oct_23_2205,60.5345241154,stroop,01,03,
red,0,down,green,2,1,13,1,right,0,0.0869550704956,2016_Oct_23_2205,60.5345241154,stroop,01,03,
red,1,left,red,2,2,14,0,right,0,0.00118017196655,2016_Oct_23_2205,60.5345241154,stroop,01,03,
blue,0,left,red,2,3,15,5,right,0,0.0496859550476,2016_Oct_23_2205,60.5345241154,stroop,01,03,
green,0,right,blue,2,4,16,3,right,1,0.0847988128662,2016_Oct_23_2205,60.5345241154,stroop,01,03,
green,1,down,green,2,5,17,2,right,0,0.0848829746246,2016_Oct_23_2205,60.5345241154,stroop,01,03,
blue,1,right,blue,3,0,18,4,right,1,0.0161781311035,2016_Oct_23_2205,60.5345241154,stroop,01,03,
red,1,left,red,3,1,19,0,right,0,0.0850341320038,2016_Oct_23_2205,60.5345241154,stroop,01,03,
green,0,right,blue,3,2,20,3,right,1,0.0332410335541,2016_Oct_23_2205,60.5345241154,stroop,01,03,
red,0,down,green,3,3,21,1,right,0,0.00116300582886,2016_Oct_23_2205,60.5345241154,stroop,01,03,
blue,0,left,red,3,4,22,5,right,0,0.0840179920197,2016_Oct_23_2205,60.5345241154,stroop,01,03,
green,1,down,green,3,5,23,2,right,0,0.0849170684814,2016_Oct_23_2205,60.5345241154,stroop,01,03,
green,1,down,green,4,0,24,2,right,0,0.035628080368,2016_Oct_23_2205,60.5345241154,stroop,01,03,
blue,0,left,red,4,1,25,5,right,0,0.0856051445007,2016_Oct_23_2205,60.5345241154,stroop,01,03,
red,0,down,green,4,2,26,1,right,0,0.10178899765,2016_Oct_23_2205,60.5345241154,stroop,01,03,
green,0,right,blue,4,3,27,3,right,1,0.0855939388275,2016_Oct_23_2205,60.5345241154,stroop,01,03,
blue,1,right,blue,4,4,28,4,right,1,0.0675699710846,2016_Oct_23_2205,60.5345241154,stroop,01,03,
red,1,left,red,4,5,29,0,right,0,0.0830500125885,2016_Oct_23_2205,60.5345241154,stroop,01,03,
